Well,Formation,Depth,Bulk_density_dry,Bulk_density_saturated,Vp_vertical_dry,Vp_vertical_saturated,Vs_vertical_dry,Vs_vertical_saturated,Carbonate_content,Quartz_content,Clay_content,Porosity_calculated,Bulk_modulus_dry_calculated,Shear_modulus_dry_calculated,Bulk_modulus_saturated_calculated,Shear_modulus_saturated_calculated,Poisson_ratio_dry_calculated,Poisson_ratio_saturated_calculated,Biots_coefficient_calculated,Vertical_overburden_stress,Vertical_differential_stress,Vertical_effective_stress,Bulk_modulus_saturated_Gassmanns,Shear_modulus_saturated_Gassmanns,Bulk_modulus_dry_Gassmanns,Shear_modulus_dry_Gassmanns,Vp_vertical_saturated_Gassmanns,Vs_vertical_saturated_Gassmanns,Vp_vertical_dry_Gassmanns,Vs_vertical_dry_Gassmanns
,,ft,g/cc,g/cc,km/s,km/s,km/s,km/s,%,%,%,%,GPa,GPa,GPa,GPa,,,,psi,psi,psi,GPa,GPa,GPa,GPa,km/s,km/s,km/s,km/s
Cecilie-1B,Ekofisk,7775.97,2.1,2.33,3.87,3.81,2.34,2.07,93.7,3.93,2.38,21.73,16.14,11.51,20.54,10.0,0.21,0.29,0.43,6841.6,3474.61,5378.63,18.96,9.23,12.93,9.23,3.66,1.99,3.46,2.09
Kraka,chalk,7796.64,1.77,2.17,2.76,2.87,1.79,1.45,87.81,10.98,1.21,31.24,5.92,5.67,11.79,4.56,0.14,0.33,0.62,6862.49,3486.54,4753.44,8.82,3.41,3.56,3.41,2.48,1.25,2.14,1.39
Kraka,chalk,7809.44,1.93,2.23,3.01,3.05,1.91,1.57,85.99,12.6,1.41,27.65,8.1,7.04,13.42,5.5,0.16,0.32,0.55,6874.51,3493.03,5004.23,11.09,4.55,5.23,4.55,2.77,1.43,2.42,1.53
Cecilie-1B,Ekofisk,7818.62,2.51,2.58,4.85,4.83,2.84,2.59,84.24,13.53,2.24,6.71,32.05,20.25,37.18,17.34,0.24,0.3,0.13,6883.38,3497.92,6429.25,35.02,16.33,25.85,16.33,4.69,2.51,4.36,2.55
Kraka,chalk,7873.74,2.18,2.38,4.21,4.25,2.59,2.41,67.0,32.19,0.8,18.31,19.14,14.62,24.56,13.82,0.2,0.26,0.37,6945.07,3535.73,5696.29,21.58,12.15,15.9,12.15,3.98,2.26,3.84,2.36
Kraka,chalk,7920.01,1.85,2.18,2.99,3.05,1.89,1.55,84.27,14.11,1.61,30.55,7.73,6.61,13.3,5.24,0.17,0.33,0.61,6992.74,3563.38,4897.71,10.48,4.13,4.83,4.13,2.71,1.38,2.36,1.49
Kraka,chalk,7941.99,2.11,2.31,4.26,4.19,2.39,2.24,96.59,2.61,0.8,23.26,22.22,12.05,25.1,11.59,0.27,0.3,0.47,7013.49,3574.61,5413.45,24.32,11.23,20.7,11.23,4.12,2.2,4.11,2.31
T-3X,Tor,8317.34,2.2,2.4,3.92,3.97,2.38,2.17,98.27,0.51,1.22,18.28,17.18,12.46,22.72,11.28,0.21,0.29,0.37,7388.92,3787.52,6072.35,20.42,10.14,13.99,10.14,3.76,2.06,3.54,2.15
T-3X,Tor,8402.64,2.04,2.3,3.56,3.62,2.16,1.95,98.16,0.72,1.12,23.96,13.18,9.53,18.47,8.74,0.21,0.3,0.48,7477.41,3839.07,5734.06,16.13,7.63,10.56,7.63,3.38,1.82,3.19,1.93
Rigs-1,Ekofisk,9009.63,2.28,2.44,3.03,3.57,2.14,1.9,82.3,8.13,9.57,14.81,7.0,10.43,19.35,8.81,0.0,0.3,0.3,8081.55,4180.38,6925.81,12.38,5.63,3.78,5.63,2.86,1.52,2.23,1.57
Rigs-1,Ekofisk,9026.03,2.04,2.3,3.62,3.62,2.25,2.02,82.94,14.68,2.38,23.7,12.97,10.33,17.59,9.36,0.19,0.27,0.47,8098.87,4190.6,6246.06,15.79,8.41,10.55,8.41,3.43,1.91,3.27,2.03
Rigs-1,Ekofisk,9049.0,1.77,2.13,2.89,2.99,1.84,1.61,92.59,5.89,1.52,33.82,6.8,6.0,11.67,5.52,0.16,0.3,0.68,8121.7,4203.48,5471.66,9.43,4.46,5.05,4.46,2.69,1.45,2.49,1.59
Rigs-1,Ekofisk,9065.4,2.32,2.47,4.07,4.23,2.59,2.41,81.66,14.51,3.83,13.39,17.66,15.55,25.05,14.34,0.16,0.26,0.27,8136.81,4211.49,7085.41,21.41,12.25,13.92,12.25,3.91,2.23,3.61,2.3
Rigs-2,Ekofisk,9075.25,1.57,2.0,2.3,2.51,1.62,1.39,78.93,15.81,5.27,40.73,2.82,4.13,7.46,3.87,0.01,0.28,0.81,8147.33,4217.75,4946.5,5.3,2.75,1.88,2.75,2.12,1.17,1.88,1.32
